date,hour,rentals,temp,humidity,rainfall,is_weekend,rainfall_log
2018-05-01,0,782,18.3,78,0.0,0,0.0
2018-05-01,1,705,18.3,83,0.0,0,0.0
2018-05-01,2,534,18.2,85,0.0,0,0.0
2018-05-01,3,343,18.1,85,0.0,0,0.0
2018-05-01,4,187,18.0,85,0.0,0,0.0
2018-05-01,5,166,18.0,85,0.0,0,0.0
2018-05-01,6,306,17.8,85,0.0,0,0.0
2018-05-01,7,614,18.0,82,0.0,0,0.0
2018-05-01,8,1067,18.8,76,0.0,0,0.0
2018-05-01,9,1024,20.7,67,0.0,0,0.0
2018-05-01,10,1002,22.2,61,0.0,0,0.0
2018-05-01,11,1117,22.7,63,0.0,0,0.0
2018-05-01,12,1315,22.1,67,0.0,0,0.0
2018-05-01,13,1493,23.0,63,0.0,0,0.0
2018-05-01,14,1536,23.0,64,0.0,0,0.0
2018-05-01,15,1639,23.1,61,0.0,0,0.0
2018-05-01,16,1759,22.6,63,0.0,0,0.0
2018-05-01,17,1898,22.0,65,0.0,0,0.0
2018-05-01,18,2082,21.6,67,0.0,0,0.0
2018-05-01,19,1696,21.2,68,0.0,0,0.0
2018-05-01,20,1656,20.6,72,0.0,0,0.0
2018-05-01,21,1644,20.2,74,0.0,0,0.0
2018-05-01,22,1400,19.9,75,0.0,0,0.0
2018-05-01,23,855,19.8,73,0.0,0,0.0
2018-05-02,0,612,19.7,76,0.0,0,0.0
2018-05-02,1,413,19.6,75,0.0,0,0.0
2018-05-02,2,245,19.0,80,0.0,0,0.0
2018-05-02,3,170,18.5,82,0.0,0,0.0
2018-05-02,4,93,18.4,81,0.0,0,0.0
2018-05-02,5,76,18.4,87,0.4,0,0.336
2018-05-02,6,67,17.9,93,0.1,0,0.095
2018-05-02,7,102,17.6,94,1.0,0,0.693
2018-05-02,8,555,17.5,94,0.0,0,0.0
2018-05-02,9,609,17.4,94,0.0,0,0.0
2018-05-02,10,486,17.7,88,0.0,0,0.0
2018-05-02,11,206,18.0,85,0.0,0,0.0
2018-05-02,12,63,17.3,95,3.5,0,1.504
2018-05-02,13,327,17.2,96,4.0,0,1.609
2018-05-02,14,376,17.5,94,0.0,0,0.0
2018-05-02,15,143,17.0,90,0.0,0,0.0
2018-05-02,16,400,15.4,95,0.5,0,0.405
2018-05-02,17,813,13.9,94,0.0,0,0.0
2018-05-02,18,518,13.6,89,0.0,0,0.0
2018-05-02,19,131,12.6,93,0.0,0,0.0
2018-05-02,20,123,11.1,91,0.5,0,0.405
2018-05-02,21,327,10.5,94,1.0,0,0.693
2018-05-02,22,299,10.4,85,0.0,0,0.0
2018-05-02,23,294,9.5,90,1.0,0,0.693
2018-05-03,0,361,8.7,86,0.0,0,0.0
2018-05-03,1,323,7.9,86,0.0,0,0.0
2018-05-03,2,251,7.3,86,0.0,0,0.0
2018-05-03,3,156,7.0,86,0.0,0,0.0
2018-05-03,4,109,7.0,87,0.0,0,0.0
2018-05-03,5,163,7.0,85,0.0,0,0.0
2018-05-03,6,469,7.9,86,0.0,0,0.0
2018-05-03,7,1160,8.4,83,0.0,0,0.0
2018-05-03,8,1946,10.5,67,0.0,0,0.0
2018-05-03,9,1061,12.8,52,0.0,0,0.0
2018-05-03,10,762,13.8,47,0.0,0,0.0
2018-05-03,11,794,14.7,45,0.0,0,0.0
2018-05-03,12,871,14.1,59,0.0,0,0.0
2018-05-03,13,516,13.4,56,0.1,0,0.095
2018-05-03,14,367,12.7,75,0.4,0,0.336
2018-05-03,15,590,12.2,56,0.5,0,0.405
2018-05-03,16,911,12.8,53,0.0,0,0.0
2018-05-03,17,1421,13.2,49,0.0,0,0.0
2018-05-03,18,2310,13.4,49,0.0,0,0.0
2018-05-03,19,1663,13.3,49,0.0,0,0.0
2018-05-03,20,1401,12.6,47,0.0,0,0.0
2018-05-03,21,1388,11.9,48,0.0,0,0.0
2018-05-03,22,1202,11.2,60,0.0,0,0.0
2018-05-03,23,832,10.6,62,0.0,0,0.0
2018-05-04,0,624,10.0,63,0.0,0,0.0
2018-05-04,1,480,9.7,63,0.0,0,0.0
2018-05-04,2,352,9.6,65,0.0,0,0.0
2018-05-04,3,224,9.6,66,0.0,0,0.0
2018-05-04,4,138,9.5,66,0.0,0,0.0
2018-05-04,5,186,9.2,63,0.0,0,0.0
2018-05-04,6,521,9.0,57,0.0,0,0.0
2018-05-04,7,1260,9.5,55,0.0,0,0.0
2018-05-04,8,2041,11.3,46,0.0,0,0.0
2018-05-04,9,1155,14.1,42,0.0,0,0.0
2018-05-04,10,864,16.1,37,0.0,0,0.0
2018-05-04,11,1021,17.2,35,0.0,0,0.0
2018-05-04,12,1206,17.9,32,0.0,0,0.0
2018-05-04,13,1222,18.9,30,0.0,0,0.0
2018-05-04,14,1266,18.8,31,0.0,0,0.0
2018-05-04,15,1323,19.9,26,0.0,0,0.0
2018-05-04,16,1501,18.6,30,0.0,0,0.0
2018-05-04,17,1857,18.1,30,0.0,0,0.0
2018-05-04,18,2661,17.1,35,0.0,0,0.0
2018-05-04,19,1890,15.5,46,0.0,0,0.0
2018-05-04,20,1389,14.1,46,0.0,0,0.0
2018-05-04,21,1298,13.3,47,0.0,0,0.0
2018-05-04,22,1256,12.7,55,0.0,0,0.0
2018-05-04,23,935,12.4,58,0.0,0,0.0
2018-05-05,0,796,12.2,59,0.0,1,0.0
2018-05-05,1,716,12.1,54,0.0,1,0.0
2018-05-05,2,508,12.1,53,0.0,1,0.0
2018-05-05,3,392,11.6,53,0.0,1,0.0
2018-05-05,4,252,12.1,51,0.0,1,0.0
2018-05-05,5,190,12.2,52,0.0,1,0.0
2018-05-05,6,247,12.3,55,0.0,1,0.0
2018-05-05,7,352,12.9,55,0.0,1,0.0
2018-05-05,8,579,14.4,51,0.0,1,0.0
2018-05-05,9,759,16.1,50,0.0,1,0.0
2018-05-05,10,877,18.1,46,0.0,1,0.0
2018-05-05,11,1024,20.2,41,0.0,1,0.0
2018-05-05,12,1258,21.9,35,0.0,1,0.0
2018-05-05,13,1408,22.7,35,0.0,1,0.0
2018-05-05,14,1669,23.6,34,0.0,1,0.0
2018-05-05,15,1837,23.8,29,0.0,1,0.0
2018-05-05,16,1223,23.2,30,0.0,1,0.0
2018-05-05,17,2014,23.6,29,0.0,1,0.0
2018-05-05,18,1929,22.5,31,0.0,1,0.0
2018-05-05,19,1753,20.7,47,0.0,1,0.0
2018-05-05,20,1562,19.7,53,0.0,1,0.0
2018-05-05,21,1551,19.3,57,0.0,1,0.0
2018-05-05,22,1360,19.1,61,0.0,1,0.0
2018-05-05,23,1097,19.1,62,0.0,1,0.0
2018-05-06,0,733,18.7,64,0.0,1,0.0
2018-05-06,1,181,18.2,71,0.0,1,0.0
2018-05-06,2,74,17.3,82,0.5,1,0.405
2018-05-06,3,43,16.2,94,1.5,1,0.916
2018-05-06,4,16,15.8,93,1.5,1,0.916
2018-05-06,5,11,15.4,96,2.0,1,1.099
2018-05-06,6,7,15.1,97,3.0,1,1.386
2018-05-06,7,16,15.1,97,2.5,1,1.253
2018-05-06,8,16,15.2,97,2.0,1,1.099
2018-05-06,9,12,15.4,97,1.0,1,0.693
2018-05-06,10,13,15.4,97,1.5,1,0.916
2018-05-06,11,10,15.5,97,3.5,1,1.504
2018-05-06,12,71,15.7,96,3.0,1,1.386
2018-05-06,13,211,16.4,94,0.0,1,0.0
2018-05-06,14,384,17.2,85,0.0,1,0.0
2018-05-06,15,770,17.8,77,0.0,1,0.0
2018-05-06,16,1482,19.5,66,0.0,1,0.0
2018-05-06,17,1737,20.2,62,0.0,1,0.0
2018-05-06,18,1848,20.2,66,0.0,1,0.0
2018-05-06,19,1639,19.0,70,0.0,1,0.0
2018-05-06,20,1526,17.6,77,0.0,1,0.0
2018-05-06,21,1450,16.8,79,0.0,1,0.0
2018-05-06,22,1290,16.4,80,0.0,1,0.0
2018-05-06,23,1016,15.9,83,0.0,1,0.0
2018-05-07,0,778,15.5,85,0.0,0,0.0
2018-05-07,1,609,15.1,84,0.0,0,0.0
2018-05-07,2,404,14.8,85,0.0,0,0.0
2018-05-07,3,249,14.7,82,0.0,0,0.0
2018-05-07,4,185,14.4,85,0.0,0,0.0
2018-05-07,5,170,14.2,85,0.0,0,0.0
2018-05-07,6,221,14.0,87,0.0,0,0.0
2018-05-07,7,389,14.2,81,0.0,0,0.0
2018-05-07,8,600,14.8,80,0.0,0,0.0
2018-05-07,9,737,15.9,72,0.0,0,0.0
2018-05-07,10,895,17.5,63,0.0,0,0.0
2018-05-07,11,1167,20.2,45,0.0,0,0.0
2018-05-07,12,1414,22.9,35,0.0,0,0.0
2018-05-07,13,1665,23.7,44,0.0,0,0.0
2018-05-07,14,1970,24.1,42,0.0,0,0.0
2018-05-07,15,2191,24.6,38,0.0,0,0.0
2018-05-07,16,2213,24.5,38,0.0,0,0.0
2018-05-07,17,2392,25.5,31,0.0,0,0.0
2018-05-07,18,2268,25.1,32,0.0,0,0.0
2018-05-07,19,1664,23.5,48,0.0,0,0.0
2018-05-07,20,1912,20.9,61,0.0,0,0.0
2018-05-07,21,1717,19.6,64,0.0,0,0.0
2018-05-07,22,1336,18.6,69,0.0,0,0.0
2018-05-07,23,994,17.5,69,0.0,0,0.0
2018-05-08,0,712,16.4,72,0.0,0,0.0
2018-05-08,1,430,16.0,64,0.0,0,0.0
2018-05-08,2,287,15.5,65,0.0,0,0.0
